text,is_drug_related,原始关键词,最终合并关键词,keywords,main_type
做生意 都 是 只 看 结果 的 谁 跟 你 讨论 过程 我 自己 也 是 做生意 的 一般 都 是 以 结果 为 导向,0,,,,非涉毒
做人 要 做 陈冠希 出门 必带 照相机 菠菜 大佬 把 我 业绩 就 像 坐飞机,0,,,,非涉毒
做好 最棒 的 机长 争取 升职 加薪 创建 自己 的 群聊,0,,,,非涉毒
做成 巧克力 啊 曲奇饼 啊 这样 条子 查不出,1,曲奇饼,饼干,曲奇饼,致幻剂类
做成 巧克力 啊 曲奇饼 啊 这样 条子 查不出,1,巧克力,饼干,巧克力,致幻剂类
做成 绿龙 这个 劲儿大,1,绿龙,叶子,绿龙,大麻类
做成 电子 菸 烟油,0,,,,非涉毒
做爱 有 性欲 的 且 会 深入 灵魂 的 那种 贴着 邮票 做爱 你 岔道 了 吧,1,邮票,邮票,邮票,致幻剂类
做 最 棒 的 机长 控制 自己 不 宕机 坠机,0,,,,非涉毒
做 一等 优质 叶子 需要 联系,1,叶子,叶子,叶子,大麻类
做 大学生 伴游 的 有没有,0,,,,非涉毒
坐飞机 去 广州 成都 埋包,0,,,,非涉毒
坐飞机 回大陆 托运 卷 好 的 叶子 不 多,1,叶子,叶子,叶子,大麻类
坐 的 是 假 看守所,0,,,,非涉毒
作用 偏低,0,,,,非涉毒
昨晚 说 得 没错 吧 找 你 的,0,,,,非涉毒
昨天 猩猩 发货 了 开心,1,猩猩,叶子,猩猩,大麻类
昨天 香草 天空 讲 他 缺斤少两 他 出来 讲 是 小弟 问题 你们 看着办,0,,,,非涉毒
昨天 群主 中奖 很 牛 逼 的 弃奖 了 今天 抽给 你们,0,,,,非涉毒
昨天 看见 就 知道 要 被 秒 掉 的 怎么 能,0,,,,非涉毒
昨天 就 说 最迟 今晚 就 没 了,0,,,,非涉毒
昨天 刚 下单 菠萝快车,1,菠萝快车,菠萝快车,菠萝快车,大麻类
昨天 赶上 朋友 送来 进口,0,,,,非涉毒
昨天 都 标 现在 是 要 我 哭 死 吗 哈哈哈哈,0,,,,非涉毒
昨天 抽 了 两根 菠萝 去 上班,1,菠萝,菠萝快车,菠萝,大麻类
昨天 才 抽 了 今天 不想 抽,0,,,,非涉毒
尊享 种植 教程 和 购买 种子 方法 如 有 打扰 敬请 谅解,1,种子,种子,种子,大麻类
罪人 万年 独夫,0,,,,非涉毒
罪 是 走私 贩卖 运输 制造 毒品 罪,0,,,,非涉毒
最新货 真情 大放送 因 极力 好评 回馈 大家 纯品 过检 电子烟油 大麻感 极强 不像 其它 满满 化学感 极力 减小 副作用 新货 本月日 恢复 原价 可走 担保 货真价实 敢走 靠谱 担保 的 不多了 诚信 第一 每天 不定时 上线 留言 看到 会回 不催,1,电子烟油,烟油,电子烟油,大麻类
最新货 真情 大放送 因 极力 好评 回馈 大家 纯品 过检 电子烟油 大麻感 极强 不像 其它 满满 化学感 极力 减小 副作用 新货 本月日 恢复 原价 可走 担保 货真价实 敢走 靠谱 担保 的 不多了 诚信 第一 每天 不定时 上线 留言 看到 会回 不催,1,大麻感,叶子,大麻感,大麻类
最新货 真情 大放送 纯品 过检 电子烟油 大麻 极强 拒绝 满满 化学感,1,电子烟油,烟油,电子烟油,大麻类
最新货 真情 大放送 纯品 过检 电子烟油 大麻 极强 拒绝 满满 化学感,1,大麻,大麻,大麻,大麻类
最新 一批 玩家 数据 骗测 勿扰,0,,,,非涉毒
最新 渠道 周末 量大 欢迎 博彩 彩票 网赚 棋牌 大佬 来撩我,0,,,,非涉毒
最新 渠道 周末 量大 欢迎 博彩 彩票 网赚 棋牌 大佬 来 撩我,0,,,,非涉毒
最新 骗子 集合 名单 更新 中 这些 双簧 群演 正 跳 反 跳 从 自命清高 嫉恶如仇 到 两袖清风 不问 名利 的 都 有 有些 骗子 演技 并 不是 特别 经得起 推敲 所以 买 叶子 千万 别着急 有些 骗子 目测 成 团伙 作案 骗术 配合 相对 比较 完整 容易 形成 逻辑 闭环 一定 细心 甄别 虽然 有个 事实 是 由于 叶子 的 交易 至今 仍 处于 地下 交易 的 状态 所以 一次 不 被骗 可能 并 不 容易 但是 仔细 甄别 提高 骗子 的 成本 在 一定 程度 上 还是 可以 抑制 骗子 现在 在 圈内 如此 嚣张 横行 的 态势 这 就 需要 大家 自觉 形成 保护意识 需要 大家 团结起来 至少 在 被骗 后 尽量 提供 骗子 的 信息 群主 也 会 在 看到 后 第一 时间 核实 并 发布 到 通知 群里 也 希望 大家 将 我们 的 防骗 中心 推广 到 更 多 地方 下面 再次 重申 本群 为 永久性 非盈利 组织 只为 尽所能 维持 叶子 圈 祥和 氛围 而 努力 为了 本群 能 永久 存在 群主 保证 绝不 在 不 允许 的 地区 吸食 含有 违反 当地 规定 的 任何 物品 包括 不在 加拿大 使用 电子 烟 不在 新加坡 使用 口香糖 再次 重申 本群 非盈利性 永久 有效性 欢迎 任何 愿意 为 净化 叶子 圈出 一份 力 的 朋友 加入,1,叶子,叶子,叶子,大麻类
最少 的 来判,0,,,,非涉毒
最烂 的 杂草 过 最 难熬 的 夜,1,杂草,草,杂草,大麻类
